#,What is your age?,Which country do you currently live in?,How do you describe your gender?,Other,How do you describe your sexual orientation?,Other,What is your current relationship status?,Have you used condoms during the past 12 months?,With a new partner,Casual sex,In a long-term relationship,When travelling,I always use condoms,Other,What is your main reason for using condoms?,"If pregnancy were already prevented by another method, how likely would you be to use a condom with a new or casual partner?",RFSU,Durex,MR SIZE,ONE,LELO,I never buy condoms,I don't remember,Other,Who normally buys the condoms you use?,Other,Pharmacy,Supermarket,Convenience store,Online,Sex shop,Delivery app,Hotel,Nightclub / bar,Vending machine,Not applicable,Safety / trust,Fit,Lubrication,Price,Brand,Packaging / design,Discretion,Sustainability,Availability,Other,Do you normally carry condoms with you?,I don't expect to need one,I forget,I don't like how condom packaging looks,It feels awkward or embarrassing to carry them,My partner normally has them,I can usually buy one when needed,I don't use condoms often,Other,Do you normally keep condoms at home?,I don't expect to need them,I forget to buy them,I'm in a relationship and use another contraceptive method,I don't like using condoms,My partner normally provides them,I don't want condoms visible at home,I don't like the way the packaging looks,Other,Have you ever wanted to use a condom during sex but ended up not using one?,Neither of us had one,We didn't want to interrupt the moment,My partner didn't want to use one,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,Condoms reduce sensation,Alcohol or drugs affected the decision,Other,I would be more likely to carry condoms with me.,I would be more likely to keep condoms easily accessible at home.,I would be willing to pay more for a better product and better-designed packaging.,Brand's own website,Department store,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,Fashion / concept store,Nightclub / bar,Restaurant bathroom,Gym,Delivery app,Vending machine,Other,Which of these is most appealing to you?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,Do you have a second favorite?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,What is the maximum price you would be willing to pay for a pack of 12 premium condoms?,Is there anything else you’d like to share with us?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
q4gt7tjc6nauuiye562q4gtm9kh4slxk,23 to 28,Sweden,Woman,,Heterosexual,,Living with a partner,No,,,,,,When switching birth control,I don't normally use condoms,Very likely,RFSU,,,,,,,,My partner,,Pharmacy,,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, several times",,We didn't want to interrupt the moment,,,,,,Alcohol or drugs affected the decision,,Definitely not,Probably not,Probably,Brand's own website,,,Pharmacy,,Convenience store,,Nightclub / bar,Restaurant bathroom,,,,,choice 2,Looks most premium,Looks most stylish,,,,Looks highest quality,,I would be comfortable leaving it visible at home,,,,choice 1,,,,,,,,,I like the colours,I like the logo / typography,,189 SEK,Don’t know if my answer is the most valuable since I’m in along term relationship (and have been for a while) and use other contraceptives . But the idea is very cool!,completed,2026-08-22 05:29:49,,2026-08-22 05:38:05,7a19d4b2bc,,"Thank you for taking part 
in the BEAR condoms survey!"
cql6ngat7ynp9dtm32c8bcql6ngatm15,28 to 33,Sweden,Man,,Heterosexual,,Single,Occasionally,,Casual sex,,,,,Protection against STIs,Rarely,,Durex,,,,,,,Me,,,Supermarket,,,,,,,,,,Fit,Lubrication,Price,,,,,,,Never,I don't expect to need one,,,,,,,,Sometimes,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,We relied on another form of contraception,,,Alcohol or drugs affected the decision,,Probably not,Maybe,Definitely not,,,,,,,,,,,,Vending machine,,choice 5,,,,,,,,I would be comfortable leaving it visible at home,,,,choice 2,,Looks most stylish,,,,Looks highest quality,,,,,,Less than 129 SEK,,completed,2026-08-22 05:14:20,,2026-08-22 05:21:28,85284295ad,,"Thank you for taking part 
in the BEAR condoms survey!"
53zigby3mygz4b0fo53zigc1c8eumxrk,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Frequently,With a new partner,Casual sex,,,,,Pregnancy prevention,Likely,RFSU,,,,,,,,Me,,,,Convenience store,Online,,,,,,,,Fit,,,Brand,,,,Availability,,Rarely,,,,,,,I don't use condoms often,,Always,,,,,,,,,"Yes, once or twice",Neither of us had one,We didn't want to interrupt the moment,,I felt awkward suggesting it,,,,Alcohol or drugs affected the decision,,Probably,Probably,Maybe,Brand's own website,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 6,Looks most premium,Looks most stylish,,Most discreet,,,,,,,,choice 3,Looks most premium,Looks most stylish,,,,,,,,,,199 SEK,,completed,2026-08-22 05:08:17,,2026-08-22 05:14:48,703672c528,,"Thank you for taking part 
in the BEAR condoms survey!"
pj8pj49oglz2p8wzl7pj8pj4fl9z0qla,28 to 33,Sweden,Man,,Heterosexual,,Dating casually,Occasionally,With a new partner,Casual sex,,When travelling,,,Both STI and pregnancy protection,Very likely,,,,,,,,Ritex,Me,,,,,,,,,,,,Safety / trust,Fit,,Price,,,,,,,Often,,,,,,,,,Always,,,,,,,,,No,,,,,,,,,,Probably not,Probably not,Probably not,,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 1,,,,,,,,,,,Most fun,choice 6,,Looks most stylish,,,,,,,,,,129 SEK,,completed,2026-08-22 01:39:45,,2026-08-22 01:45:46,d16385b6b0,,"Thank you for taking part 
in the BEAR condoms survey!"
e2h8xzv6czdpldbcwze2h8xzv68lqkge,23 to 28,Netherlands,Woman,,Heterosexual,,Living with a partner,No,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Very likely,,Durex,,,,I never buy condoms,I don't remember,,Both of us,,Pharmacy,Supermarket,Convenience store,,,,,,,,Safety / trust,,Lubrication,,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",Neither of us had one,We didn't want to interrupt the moment,,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,Condoms reduce sensation,Alcohol or drugs affected the decision,,Maybe,Maybe,Maybe,,,,Pharmacy,Supermarket,Convenience store,,Nightclub / bar,,,,Vending machine,,choice 1,,,,,Most distinctive,,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,,,choice 6,,,,,,,,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,169 SEK,,completed,2026-08-21 22:22:29,,2026-08-21 22:30:41,e54bc62bd4,,"Thank you for taking part 
in the BEAR condoms survey!"
46vqcofz6ujcrf46vfhhhsk25wp6hr7f,23 to 28,Dominican Republic,Woman,,Heterosexual,,Married,No,With a new partner,Casual sex,,,,,Protection against STIs,Never,,Durex,,,,,,,Both of us,,Pharmacy,Supermarket,,,,,,,,,,Fit,Lubrication,,,,Discretion,,,,Never,I don't expect to need one,,,It feels awkward or embarrassing to carry them,,I can usually buy one when needed,,,Usually,,,,,,,,,"Yes, several times",Neither of us had one,We didn't want to interrupt the moment,My partner didn't want to use one,,,,,,,Probably,Definitely,Probably,Brand's own website,Department store,,Pharmacy,,,,,,,Delivery app,,,choice 3,,Looks most stylish,,Most discreet,,,,,I like the colours,I like the logo / typography,,choice 2,Looks most premium,Looks most stylish,,Most discreet,,Looks highest quality,I would feel comfortable carrying it,,,,,149 SEK,,completed,2026-08-21 20:19:39,,2026-08-21 20:25:21,18e6c3aa66,,"Thank you for taking part 
in the BEAR condoms survey!"
7r49oppya80w5yyi67r49ont6pukoa7j,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Once or twice,,,In a long-term relationship,,,,Pregnancy prevention,Likely,RFSU,,,,,,,,Both of us,,,Supermarket,,,,,,,,,Safety / trust,Fit,,,,Packaging / design,,,,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Maybe,Maybe,Maybe,,,,,Supermarket,,,,,,,,,choice 6,Looks most premium,,,,Most distinctive,Looks highest quality,,,,,,choice 1,,,,,,,I would feel comfortable carrying it,,I like the colours,I like the logo / typography,,Less than 129 SEK,,completed,2026-08-21 19:50:45,,2026-08-21 19:55:07,15395d76e5,,"Thank you for taking part 
in the BEAR condoms survey!"
0k0ilbioxhtdpuvpaz0k0ilbihvnyznm,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Once or twice,With a new partner,,,When travelling,,,Both STI and pregnancy protection,Rarely,RFSU,,,,,,,,Me,,Pharmacy,Supermarket,,,,,,,,,,Fit,Lubrication,Price,,,,,,,Never,I don't expect to need one,,,It feels awkward or embarrassing to carry them,,,,,Usually,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,Condoms reduce sensation,,,Probably not,Maybe,Maybe,,,,Pharmacy,Supermarket,,,,,,,,,choice 2,,,,Most discreet,,,,,,,,choice 4,,Looks most stylish,,,,,,,,,,149 SEK,,completed,2026-08-21 19:06:42,,2026-08-21 19:17:22,9b4efdd391,,"Thank you for taking part 
in the BEAR condoms survey!"
3ek3tiwr9laatm2l8v33ek3x4nsl0iw3,28 to 33,Switzerland,Woman,,Heterosexual,,Dating casually,Frequently,With a new partner,,,,,,Both STI and pregnancy protection,Very likely,,,,,,,,SKYN,Both of us,,Pharmacy,,,,,,,,,,Safety / trust,,,,Brand,,,,,Quality rubber as im semi allergic,Rarely,,,,,,I can usually buy one when needed,,,Usually,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,,,,I didn't think the STI risk was high,Condoms reduce sensation,Alcohol or drugs affected the decision,,Definitely,Definitely,Definitely,Brand's own website,Department store,Hotel room / minibar,Pharmacy,,,,,Restaurant bathroom,,,,,choice 3,,,,,,,,,,,I like the retro playboy feel with a softer edge. Girly colours would be fun too for pop. Great mood for a direction. Current and can be playful with imagery/ fun photoshoots. In turn it makes you feel fun and sexy.,choice 2,,,,,,,,,,,"I like the imboss and typography - not the black - a little too heavy, bdsm for my interest of purchase.",199 SEK,,completed,2026-08-21 18:30:51,,2026-08-21 18:45:59,8d79602ed1,,"Thank you for taking part 
in the BEAR condoms survey!"
3b7amj144e6urhyk043b7acskl178zdu,23 to 28,Greece,Woman,,Heterosexual,,Single,Occasionally,With a new partner,,,,,,Both STI and pregnancy protection,Very likely,,Durex,,,,,,,Both of us,,,Supermarket,,,,,,,,,Safety / trust,Fit,,,Brand,,,,,,Always,,,,,,,,,Always,,,,,,,,,"Yes, several times",,,,,,I didn't think the STI risk was high,,,,Definitely,Definitely,Probably not,,,,Pharmacy,,,,,,,,,,choice 1,,,,,,,,,I like the colours,,,choice 6,,,,,,,,,,I like the logo / typography,,149 SEK,,completed,2026-08-21 17:17:05,,2026-08-21 17:22:18,8b15178b1a,,"Thank you for taking part 
in the BEAR condoms survey!"
ahyehhwvv2cpeyfnuwbu9ahyehhrv1nq,28 to 33,Sweden,Man,,Heterosexual,,In a relationship,No,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Rarely,RFSU,,,,,,,,Me,,Pharmacy,,,,,,,,,,,,,Price,,,Discretion,,Availability,,Never,,,,,,,I don't use condoms often,,Sometimes,,,,,,,,,No,,,,,,,,,,Maybe,Probably not,Probably not,,,,Pharmacy,Supermarket,Convenience store,,,,,,Vending machine,,choice 2,,,,Most discreet,,,,,,,,choice 1,,Looks most stylish,,,,,,,,,,149 SEK,,completed,2026-08-21 16:23:01,,2026-08-21 16:26:10,d85f9b9f70,,"Thank you for taking part 
in the BEAR condoms survey!"
d09ebdiq8x9j03d09e0ff818jlpele34,23 to 28,Sweden,Woman,,Heterosexual,,Single,Frequently,,,,,I always use condoms,,Both STI and pregnancy protection,Always,,Durex,,,,,,,My partner,,,Supermarket,,,,,,,,,Safety / trust,,Lubrication,Price,,,,,,,Never,,,,,My partner normally has them,,,,Usually,,,,,,,,,No,,,,,,,,,,Maybe,Maybe,Probably not,,Department store,,,Supermarket,,,,,,,,,choice 4,,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,choice 3,,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,129 SEK,,completed,2026-08-21 16:19:09,,2026-08-21 16:26:55,bea9f3d4d3,,"Thank you for taking part 
in the BEAR condoms survey!"
tn70ev966lfwqfxqz6sctn70eveq16uf,23 to 28,Spain,Man,,Gay / lesbian,,Single,No,,,,,I always use condoms,,Protection against STIs,Always,,,,,,,I don't remember,,Me,,,,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,I don't expect to need one,,,,,,,,Always,,,,,,,,,No,,,,,,,,,,Probably,Definitely,Probably,Brand's own website,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 6,,Looks most stylish,,,,Looks highest quality,I would feel comfortable carrying it,,,I like the logo / typography,,choice 1,Looks most premium,,,,Most distinctive,Looks highest quality,I would feel comfortable carrying it,,,I like the logo / typography,,149 SEK,,completed,2026-08-21 16:13:57,,2026-08-21 16:21:00,b7a9842c9d,,"Thank you for taking part 
in the BEAR condoms survey!"
vcvjkx9c6vrfxd9vcvj2soeqo6e5kwy4,23 to 28,Greece,Woman,,Heterosexual,,In a relationship,Occasionally,With a new partner,Casual sex,,When travelling,,,Both STI and pregnancy protection,Always,,,,,,,,Duo,Both of us,,,Supermarket,,,,,,,,,Safety / trust,Fit,,,,Packaging / design,,,,,Rarely,,,,,My partner normally has them,,,,Always,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,,,,I didn't think the STI risk was high,Condoms reduce sensation,,,Probably,Maybe,Probably,Brand's own website,Department store,,Pharmacy,Supermarket,,,,,,Delivery app,,,choice 6,,,,,,,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,choice 4,,,,,,,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,,,,219 SEK or more,,completed,2026-08-21 16:06:57,,2026-08-21 16:14:56,e8c0aa8d47,,"Thank you for taking part 
in the BEAR condoms survey!"
cjo3es8xp9iypahcjo3exh1nn6usoi1i,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,Occasionally,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Very likely,RFSU,,,,,,,,Both of us,,Pharmacy,Supermarket,,,,,,,,,Safety / trust,Fit,,,,,,,Availability,,Never,I don't expect to need one,,,,,,,,Rarely,I don't expect to need them,,,,,,,,No,,,,,,,,,,Probably,Maybe,Maybe,Brand's own website,,,Pharmacy,Supermarket,,,,,,,,,choice 6,,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,choice 3,,,,,,,I would feel comfortable carrying it,,,,,149 SEK,,completed,2026-08-21 15:45:32,,2026-08-21 15:52:18,ff211190bc,,"Thank you for taking part 
in the BEAR condoms survey!"
7b701h441uakv4ll7b701h4wvrer9di9,23 to 28,Sweden,Woman,,Heterosexual,,Single,Once or twice,With a new partner,,,,,,Protection against STIs,Very likely,,Durex,,,,,,,Both of us,,,,,,,,,Nightclub / bar,,,Safety / trust,,Lubrication,Price,,,,,,,Rarely,,,,,,I can usually buy one when needed,,,Usually,,,,,,,,,"Yes, once or twice",,,,,,I didn't think the STI risk was high,,,,Probably not,Probably not,Probably not,,,Hotel room / minibar,,,,,,,,,,,choice 4,,,,,,Looks highest quality,,,,,,choice 3,,,,,,,,,I like the colours,,,149 SEK,,completed,2026-08-21 15:23:26,,2026-08-21 15:27:51,c7ebd8b92c,,"Thank you for taking part 
in the BEAR condoms survey!"
vuavaqp6zccq77lfanbpvuavauxxq7t4,23 to 28,Sweden,Woman,,Bisexual,,Single,Occasionally,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Very likely,RFSU,,,,,,,,Me,,,,,,,,,,,,Safety / trust,,,Price,,,,Sustainability,,,Often,,,,,,,,,Always,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,My partner didn't want to use one,,,,,Alcohol or drugs affected the decision,,Maybe,Probably,Maybe,,,,Pharmacy,Supermarket,,,Nightclub / bar,,,,,,choice 1,,Looks most stylish,,,,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,,,,choice 3,,,,,,,I would feel comfortable carrying it,,,I like the logo / typography,,169 SEK,Great idea to have bars sell condoms!,completed,2026-08-21 15:17:32,,2026-08-21 15:27:55,b81c0c05b5,,"Thank you for taking part 
in the BEAR condoms survey!"
34279i6g6gufvueme3427dg1qsr8drpm,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,Frequently,,,,,I always use condoms,,Pregnancy prevention,Likely,RFSU,,,,,,,,Both of us,,,,,,,,,,,,Safety / trust,,Lubrication,Price,,,,,,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,,,,,,,,Maybe,Probably,Probably not,,Department store,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 6,,,,,,,,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,choice 5,,,,Most discreet,,,,,,,,169 SEK,,completed,2026-08-21 15:00:07,,2026-08-21 15:05:49,0e91cf9abf,,"Thank you for taking part 
in the BEAR condoms survey!"
ad1f4x9i0jkiked1zgbad1f9b9pauzsl,28 to 33,Sweden,Woman,,Heterosexual,,In a relationship,No,With a new partner,Casual sex,,,,,Protection against STIs,Very likely,,,,,,I never buy condoms,,,My partner,,Pharmacy,Supermarket,,,,,,,,,Safety / trust,Fit,,,,,,Sustainability,,,Never,I don't expect to need one,,,,,,,,Sometimes,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,We relied on another form of contraception,I didn't think the STI risk was high,,,,Probably not,Probably not,Maybe,Brand's own website,,,Pharmacy,,,,,,,Delivery app,,,choice 4,,Looks most stylish,,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,,,169 SEK,,completed,2026-08-21 14:33:40,,2026-08-21 14:40:01,f86b46b1e0,,"Thank you for taking part 
in the BEAR condoms survey!"
jb7kyigg0omy30d5jb7kh5t24g6s50ey,23 to 28,Sweden,Woman,,Heterosexual,,In a relationship,No,,Casual sex,,,,,Protection against STIs,Rarely,,,,,,I never buy condoms,,,,Dont use them,,,,,,,,,,,Safety / trust,Fit,,,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",,,,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,,,,Probably not,Probably not,Probably,Brand's own website,,,Pharmacy,,,,,,,,,,choice 4,,,,,,,,,I like the colours,,,choice 1,,Looks most stylish,,,,,,,,,,169 SEK,,completed,2026-08-21 14:23:35,,2026-08-21 14:28:53,b7a4ac20e9,,"Thank you for taking part 
in the BEAR condoms survey!"
lpsryh28vyaxwa754j2tklpsrymwk71r,28 to 33,United States,Woman,,Heterosexual,,In a relationship,No,With a new partner,Casual sex,,,,,I don't normally use condoms,Likely,,,,,,,I don't remember,,,Don’t use condoms,,,,,,,,,,Not applicable,Safety / trust,,,Price,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,No,,,,,,,,,,Probably,Probably,Probably,Brand's own website,,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 2,Looks most premium,,,Most discreet,,Looks highest quality,,,,I like the logo / typography,,choice 3,,Looks most stylish,,,,Looks highest quality,,,I like the colours,I like the logo / typography,,149 SEK,,completed,2026-08-21 13:38:29,,2026-08-21 13:45:41,84837f104a,,"Thank you for taking part 
in the BEAR condoms survey!"
fcv8pj93588v0h4ksuv6fcv8ptrpi3zq,Below 23,Sweden,Woman,,Heterosexual,,In a relationship,Occasionally,With a new partner,Casual sex,,,,,Protection against STIs,Rarely,RFSU,,,,,,,,Me,,Pharmacy,,,,,,,,,,,Fit,,Price,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Always,,,,,,,,,No,,,,,,,,,,Probably not,Probably not,Definitely,,,,Pharmacy,Supermarket,,,,,,,,,choice 1,,,,,,,,,,I like the logo / typography,,choice 5,,,,Most discreet,,,,,,,,Less than 129 SEK,,completed,2026-08-21 13:35:24,,2026-08-21 13:39:02,9141b35184,,"Thank you for taking part 
in the BEAR condoms survey!"
d4cd6l15kwh7zrp7zxxd4cd6l1q2rc5h,28 to 33,Sweden,Woman,,Heterosexual,,Dating casually,Frequently,,,,,I always use condoms,,Both STI and pregnancy protection,Likely,RFSU,,,,,,,,Me,,,,,,,,,,,,,Fit,,Price,,,,,Availability,,Always,,,,,,,,,Always,,,,,,,,,"Yes, several times",,,My partner didn't want to use one,,,,,Alcohol or drugs affected the decision,,Probably not,Probably not,Maybe,,Department store,,,,Convenience store,,,,,,,,,,,,,,,,,,,I don’t like the brown,choice 4,,Looks most stylish,,Most discreet,,,,,I like the colours,I like the logo / typography,,169 SEK,,completed,2026-08-21 13:33:34,,2026-08-21 13:41:43,2fb3c16050,,"Thank you for taking part 
in the BEAR condoms survey!"
kutvo4nbsreoyu970vvnakutvoy9psfn,28 to 33,Sweden,Woman,,Heterosexual,,Dating someone,Frequently,,,,,I always use condoms,,Pregnancy prevention,Very likely,RFSU,,,,,,,,Both of us,,,Supermarket,,,,,,,,,Safety / trust,Fit,,,,,,,Availability,,Rarely,,,,,My partner normally has them,,,Jag och min partner har hemma hos varandra. Bär endast på det när jag precis köpt nya.,Always,,,,,,,,,No,,,,,,,,,,Probably not,Probably not,Maybe,Brand's own website,,,Pharmacy,Supermarket,,,,,,,,,choice 3,,Looks most stylish,,,,,,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,choice 5,,,,,,,,,I like the colours,,"Gillar inte loggan, men färgskalan är fin. Gillar bäst loggan på C.",169 SEK,Det absolut viktigaste för mig är en kondom som håller kvaliteten och passar min partner. Passform tycker jag är det svåraste.,completed,2026-08-21 13:28:48,,2026-08-21 13:38:22,3f9067d48c,,"Thank you for taking part 
in the BEAR condoms survey!"
h1ziidm7qmwa8cm58h1ziiaebin062kh,23 to 28,Sweden,Man,,Heterosexual,,Living with a partner,No,With a new partner,,,,,,I don't normally use condoms,Rarely,,,,,,I never buy condoms,,,Me,,Pharmacy,,,Online,,,,,,,,Fit,,Price,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,No,,,,,,,,,,Probably not,Probably not,Probably not,,,,Pharmacy,Supermarket,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,,,choice 3,,,,,,,,,,I like the logo / typography,,149 SEK,,completed,2026-08-21 13:27:33,,2026-08-21 13:32:12,2d92e0c126,,"Thank you for taking part 
in the BEAR condoms survey!"
m9tigj15rk92cklw4ll6dm9tigdt4oq3,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,Frequently,,,In a long-term relationship,,I always use condoms,,Pregnancy prevention,Never,,Durex,MR SIZE,,,,,,My partner,,,,,Online,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,,,,I didn't think the STI risk was high,Condoms reduce sensation,,,Probably not,Probably,Maybe,Brand's own website,Department store,,Pharmacy,,,Fashion / concept store,,,,,,,choice 2,Looks most premium,Looks most stylish,,Most discreet,,Looks highest quality,,,,,,choice 1,,,Feels most trustworthy,,Most distinctive,,,I would be comfortable leaving it visible at home,I like the colours,,,169 SEK,,completed,2026-08-21 13:23:39,,2026-08-21 13:27:00,eef7021fd2,,"Thank you for taking part 
in the BEAR condoms survey!"
pajfrruphibtb32883velpajfrruqm0h,28 to 33,Sweden,Man,,Heterosexual,,Single,Once or twice,With a new partner,Casual sex,,,,,Both STI and pregnancy protection,Likely,,,,,,,I don't remember,,Me,,Pharmacy,,,,,,,,,,Safety / trust,,,Price,,,,,Availability,,Rarely,I don't expect to need one,,,,,,,,Always,,,,,,,,,"Yes, several times",Neither of us had one,We didn't want to interrupt the moment,,I felt awkward suggesting it,We relied on another form of contraception,,,Alcohol or drugs affected the decision,,Maybe,Probably,Maybe,,,,Pharmacy,Supermarket,,,,,,Delivery app,,,choice 3,,,,,,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,,,,choice 2,Looks most premium,Looks most stylish,,,,,I would feel comfortable carrying it,,,,,189 SEK,Dålig koll på vad kondomer kostar så svårt att uppskatta sista frågan,completed,2026-08-21 13:10:07,,2026-08-21 13:16:30,9a03e996a6,,"Thank you for taking part 
in the BEAR condoms survey!"
xeus3nj7eunf0xhqzfxeus3ovgxgsggc,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Once or twice,With a new partner,Casual sex,,,,,Protection against STIs,Likely,,,,,,,I don't remember,,Me,,Pharmacy,,,,,,,,,,,Fit,,Price,,,,,,Having an effect,Never,I don't expect to need one,,,,,,I don't use condoms often,,Usually,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Probably not,Probably not,Maybe,Brand's own website,,,Pharmacy,Supermarket,,,,,,,Vending machine,,choice 4,,Looks most stylish,,,,,,,,,,,,,,,,,,,,,Yes,149 SEK,,completed,2026-08-21 12:58:46,,2026-08-21 13:07:38,404a5da925,,"Thank you for taking part 
in the BEAR condoms survey!"
nn5uxfjo1mn6de9gxq13nn5uqo4uau0a,28 to 33,Sweden,Woman,,Heterosexual,,Married,Occasionally,With a new partner,,In a long-term relationship,,,,Protection against STIs,Likely,,,,,,,I don't remember,,My partner,,,,,,,,,,,,Safety / trust,Fit,,,,,,,Availability,,Rarely,,,,,My partner normally has them,,,,Usually,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,We relied on another form of contraception,I didn't think the STI risk was high,,,,Maybe,Maybe,Probably,Brand's own website,Department store,,,Supermarket,,,,,,Delivery app,,,choice 3,,Looks most stylish,,,Most distinctive,,,,I like the colours,I like the logo / typography,,choice 6,Looks most premium,,,,,Looks highest quality,,,I like the colours,I like the logo / typography,,169 SEK,,completed,2026-08-21 12:34:04,,2026-08-21 12:37:28,8314b6986a,,"Thank you for taking part 
in the BEAR condoms survey!"
nakydkpfyg47syd390nakydkpg4a9l37,28 to 33,Sweden,Woman,,Heterosexual,,Single,Once or twice,With a new partner,,,,,,Protection against STIs,Rarely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,Safety / trust,Fit,,,,Packaging / design,,,,,Never,I don't expect to need one,,,,My partner normally has them,,I don't use condoms often,,Never,I don't expect to need them,,,,My partner normally provides them,I don't want condoms visible at home,,,"Yes, once or twice",Neither of us had one,We didn't want to interrupt the moment,,,,,,,,Maybe,Maybe,Probably,,,,Pharmacy,Supermarket,Convenience store,Fashion / concept store,,,,,Vending machine,,choice 2,Looks most premium,Looks most stylish,,,,Looks highest quality,,I would be comfortable leaving it visible at home,,,,choice 6,,,,Most discreet,,,,,,,,189 SEK,,completed,2026-08-21 12:24:25,,2026-08-21 12:39:50,5b4b9af5b5,,"Thank you for taking part 
in the BEAR condoms survey!"
6hhre3loaekwk4dd1j6hhre3lkckhjvo,28 to 33,Syria,Man,,Heterosexual,,Single,No,With a new partner,,,,,,Both STI and pregnancy protection,Very likely,,Durex,,,,,,,Me,,,Supermarket,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Probably not,Probably not,Maybe,Brand's own website,,,,Supermarket,Convenience store,,,,,Delivery app,Vending machine,,choice 2,,,,Most discreet,,,,,,,,choice 3,,Looks most stylish,,,,Looks highest quality,,,,,,149 SEK,,completed,2026-08-21 12:21:13,,2026-08-21 12:24:17,65bd9b57e3,,"Thank you for taking part 
in the BEAR condoms survey!"
